Sembol	Piyasa Değeri	Defter Değeri	Toplam Hisse Sayısı	Net Kar (Son 4Ç)	EPS
LYDHO	23420800000.00	2040106401.00	208000000.00	-338460065.00	-2.00
LYDYE	18707406809.40	369046610.00	1891069.68	114633333.00	61.00
MAALT	5845389349.00	2321506930.00	6967091.00	-230806905.00	-33.00
MACKO	2468750000.00	331814172.00	25000000.00	232038273.00	9.00
MAGEN	22361000000.00	12646612170.00	1180000000.00	1385760957.00	1.00
MAKIM	2721600000.00	853270732.00	112000000.00	217443330.00	2.00
MAKTK	1230000000.00	1018571579.00	200000000.00	80422207.00	0.40
MANAS	1456646400.00	602835880.00	165528000.00	-1681647.00	-0.01
MARBL	2926080000.00	1796736994.00	228600000.00	135331997.00	0.59
MARKA	1149202500.00	176859365.00	20990000.00	63364500.00	3.00
MARTI	1932000000.00	4407574522.00	600000000.00	-116386800.00	-0.19
MAVI	31899656800.00	8062822000.00	397256000.00	2510228000.00	6.00
MEDTR	6247500000.00	2074225437.00	119000000.00	137851071.00	1.00
MEGAP	833250000.00	1901709492.00	275000000.00	163692408.00	0.60
MEGMT	8246800000.00	3635124071.00	265000000.00	507491821.00	2.00
MEKAG	2647500000.00	1053880575.00	62500000.00	-27348459.00	-0.44
MEPET	702262000.00	1712363619.00	75350000.00	37873644.00	0.50
MERCN	2408192466.90	1599637254.00	190370946.00	140889733.00	0.74
MERIT	5725005000.00	9478384991.00	28050000.00	349629449.00	12.00
MERKO	1563401961.52	1027831985.00	101125612.00	150220118.00	1.00
METRO	1366200000.00	4136586120.00	540000000.00	-3068247248.00	-6.00
METUR	1617840000.00	328113638.00	108000000.00	13040744.00	0.12
MGROS	87358667422.50	54090532000.00	181054233.00	6361169000.00	35.00
MHRGY	4267320000.00	6227727450.00	827000000.00	488521944.00	0.59
MIATK	21706360000.00	3240427437.00	494000000.00	1164908102.00	2.00
MMCAS	249799743.67	2192185.00	13336879.00	-3646520.00	-0.27
MNDRS	3061310043.68	10583326788.00	277292576.42	1138785528.00	4.00
MNDTR	5927080553.79	6161397564.00	1049040805.98	-888281985.00	-0.85
MOBTL	4243500000.00	6056380893.00	1025000000.00	433854807.00	0.42
